Homann	Mitchell	Noble	GRACE
	orf19.5181	orf19.4982	orf19.4843
	orf19.4252	orf19.4984	orf19.3012
	orf19.4252	orf19.5001	orf19.7503
	orf19.4084	orf19.5014	orf19.2308
	orf19.4084	orf19.5020	orf19.6869
	orf19.469	orf19.5068	orf19.2660
	orf19.469	orf19.5138	orf19.577
	orf19.5350	orf19.5170	orf19.2400
	orf19.5350	orf19.5178	orf19.4062
	orf19.2605	orf19.5181	orf19.1224
	orf19.2605	orf19.5200	orf19.1844
	orf19.5224	orf19.5207	orf19.6143
	orf19.5224	orf19.5224	orf19.2839
	orf19.663	orf19.5241	orf19.1568
	orf19.663	orf19.5247	orf19.5953
	orf19.451	orf19.5251	orf19.4370
	orf19.451	orf19.5285	orf19.121
	orf19.1874	orf19.5286	orf19.2881
	orf19.1874	orf19.5291	orf19.3226
	orf19.4242	orf19.5300	orf19.1040
	orf19.4242	orf19.5326	orf19.4758
	orf19.2395	orf19.5334	orf19.3986
	orf19.2395	orf19.5338	orf19.3237
	orf19.3047	orf19.5342	orf19.5024
	orf19.3047	orf19.5399	orf19.2727
	orf19.794	orf19.5401	orf19.5630
	orf19.794	orf19.5406	orf19.144
	orf19.4892	orf19.5445	orf19.3050
	orf19.4892	orf19.5477	orf19.1614
	orf19.5408	orf19.5485	orf19.2551
	orf19.5408	orf19.5542	orf19.1986
	orf19.223	orf19.5555	orf19.3465
	orf19.223	orf19.5559	orf19.1517
	orf19.3256	orf19.5585	orf19.3455
	orf19.3256	orf19.5588	orf19.568
	orf19.1196	orf19.5593	orf19.445
	orf19.1196	orf19.5600	orf19.978
	orf19.835	orf19.5634	orf19.3175
	orf19.835	orf19.5643	orf19.804
	orf19.469	orf19.5644	orf19.1149
	orf19.469	orf19.5651	orf19.5220
	orf19.4084	orf19.5661	orf19.5645
	orf19.4084	orf19.5662	orf19.4371
	orf19.2341	orf19.5673	orf19.58
	orf19.2341	orf19.5714	orf19.4754
	orf19.35	orf19.5729	orf19.4299
	orf19.35	orf19.5736	orf19.4306
	orf19.4001	orf19.5759	orf19.4308
	orf19.4001	orf19.5760	orf19.2580
	orf19.4867	orf19.5776	orf19.2738
	orf19.4867	orf19.5782	orf19.578
	orf19.7281	orf19.5813	orf19.3340
	orf19.7281	orf19.5848	orf19.5053
	orf19.3744	orf19.5851	orf19.6537
	orf19.6369	orf19.5855	orf19.5610
	orf19.4144	orf19.5874	orf19.4807
	orf19.4269	orf19.5892	orf19.4813
	orf19.4909	orf19.5903	orf19.1362
	orf19.4909	orf19.5915	orf19.3715
	orf19.4890	orf19.5940	orf19.6165
	orf19.4890	orf19.5942	orf19.1404
	orf19.4308	orf19.5968	orf19.6316
	orf19.4308	orf19.5975	orf19.2333
	orf19.4432	orf19.5992	orf19.3983
	orf19.4432	orf19.5994	orf19.2987
	orf19.3545	orf19.6001	orf19.3131
	orf19.3545	orf19.6011	orf19.4031
	orf19.7510	orf19.6018	orf19.4035
