YSD	Medium	length	diameter	septum	MI
1410	dextrose	35.131	25.517	11.333	0.611471435
1410	dextrose	44.327	33.632	14.016	0.549271468
1410	dextrose	60.491	39.76	11.035	0.422250673
1410	dextrose	51.294	39.788	10.022	0.324725764
1410	dextrose	52.426	39.777	12.019	0.39824562
1410	dextrose	552.264	24.585	19.821	18.11055962
1410	dextrose	229.337	22.676	15.348	6.845308431
1410	dextrose	79.903	52.717	20.011	0.57534786
1410	dextrose	52.26	32.51	8.055	0.398291475
1410	dextrose	37.571	20.87	9.545	0.823348672
1410	dextrose	59.067	44.821	12.649	0.371910143
1410	dextrose	56.135	37.742	8.692	0.342533951
1410	dextrose	56.356	43.256	10.154	0.305833184
1410	dextrose	73.545	41.484	7.601	0.324834863
1410	dextrose	157.6	32.056	18.439	2.827970785
1410	dextrose	58.863	43.823	17.448	0.534790687
1410	dextrose	66.483	45.806	16.028	0.507861399
1410	dextrose	87.899	38.146	16.72	1.010001918
1410	dextrose	93.619	32.441	15.846	1.409597704
1410	dextrose	28.975	22.191	10.75	0.63252568
1410	dextrose	62.2	37.577	10.154	0.44728397
1410	dextrose	39.198	32.069	14.907	0.568176575
1410	dextrose	61.174	46.614	11.87	0.334183385
1410	dextrose	32.911	23.57	9.428	0.558523547
1410	dextrose	136.341	25.612	20.125	4.182879732
1410	dextrose	91	56.436	13.601	0.388597304
1410	dextrose	72.56	43.012	27.731	1.087635891
1410	dextrose	91.548	49.98	16.155	0.592056727
1410	dextrose	103.586	51.624	19.105	0.742582655
1410	dextrose	63.151	47.854	25.08	0.69162594
1410	dextrose	67.082	35.355	14.036	0.753264809
1410	dextrose	74.706	50.774	13.416	0.388772713
1410	dextrose	51.592	37.906	11.662	0.418735214
1410	dextrose	67.412	45.083	14.422	0.478340428
1410	dextrose	55.043	38.58	17.651	0.652750126
1410	dextrose	55.337	42.667	15.463	0.470029538
1410	dextrose	60.019	46.895	14.142	0.385963741
1410	dextrose	53.537	40.716	11.508	0.371641046
1410	dextrose	1090.47	19.799	20	55.63616758
1410	dextrose	353.548	18.111	26.907	29.00205704
1410	dextrose	780.013	42.19	25.612	11.2234476
1410	dextrose	584.318	36	22	9.918978395
1410	dextrose	113.225	53.712	25	0.981159674
1410	dextrose	46.84	38.897	14.142	0.437819908
1410	dextrose	55.444	38	21.024	0.807240066
1410	dextrose	147.959	18.439	6.708	2.919172188
1410	dextrose	52.616	38.873	8.944	0.311425021
1410	maltose	45.734	37.172	13.872	0.459141354
1410	maltose	59.93	43.256	15.348	0.491590357
1410	maltose	49.862	36.812	10.435	0.383957647
